text,#настроение@its_my_planner,IMG,https://sun9-36.userapi.com/impg/6yO8uOj9QGv-YGBTqwukiBkqyS66fEH_c4SPnA/I8UH9Cf1YTY.jpg?size=510x680&quality=95&sign=748976792f636ae76ee90193239dc777&c_uniq_tag=gIJs4hQ8tMrlvIFWbyxB6Ta14E6oaKMQV98pt7-_UHM&type=album
text,"«Есть люди, которые хотят чего-то, есть люди, которые мечтают о чём-то, а есть люди, которые это делают», — Майкл Джордан

#цитаты@its_my_planner",IMG,https://sun9-17.userapi.com/impg/suVmV0bhHd7hobwf8dySc0hvt-hLd73UpOgFqw/dKR87Lv2e-A.jpg?size=510x507&quality=95&sign=7b6ba66f249dbda37c7b02a3483ea8e1&c_uniq_tag=RNEGKWtcNBVWKcZ-j4PDH1nsBPJyqOEf74NN0KaT9hY&type=album
text,#своимируками@its_my_planner,IMG,https://sun9-53.userapi.com/impg/r7x9OT3ZAxq0F20lXXmqPofKqhlib1Agu4Fvlg/Xzl01xxNp-A.jpg?size=510x510&quality=95&sign=bba0025628686b8390865949d6292fe2&c_uniq_tag=piEWB1BcIrFJRJxc-mDaaUdUbmYTGDcZBnI_MtUCOYY&type=album
text,#образец@its_my_planner,IMG,https://sun9-59.userapi.com/impg/qOMpi5Ogu1TCOfizgkasH0NdqTvsQb5gagaaHQ/D89JJLdHOeQ.jpg?size=600x900&quality=96&sign=549711abcb321469da813ad07d9ea57d&c_uniq_tag=fY1b4yaHj69LkwMvwZKm1p5R0PiQzMNTdxzLdf0F4uM&type=album
text,#заставки@its_my_planner,IMG,"https://sun9-12.userapi.com/impg/PsJc_TxD6smo7nDypYULh4JtY5MtAgL-QJuIWw/TwEpMqKS7_8.jpg?size=510x900&quality=95&crop=0,0,736,1299&sign=c1df9b941f7bf15a32ec56746f98d54c&c_uniq_tag=JrSmHoE4LSU8WtJwMb6e6aoFXPB2LuOYjltLKc4l-Io&type=album"
text,"💡Искусство ведения дневника благодарности

Ведение дневника благодарности — это преобразующая практика, которая развивает позитивный настрой. 

Каждый день уделяйте минутку размышлениям о том, за что вы благодарны, и фиксируйте их в своем журнале благодарности. 

Будь то тепло солнца, добрый жест друга или простое удовольствие, такое как чашка горячего чая, признание и оценка этих моментов могут переключить ваше внимание на позитивные аспекты жизни. 

Овладейте искусством ведения дневника благодарности, чтобы способствовать радости и удовлетворенности.

#ведение@its_my_planner",IMG,https://sun9-72.userapi.com/impg/kS2q7iG4lt3Ix5g8GsRBK1pGaOJU8j00QBwM2Q/Iql71iPiuZo.jpg?size=510x510&quality=95&sign=5650ac7fce8fd869c86da1e354342240&c_uniq_tag=sHtbRd9IeU23dOx5rN-icA8x2B6EpofsBx9qM4s2fF8&type=album
text,#украшения@its_my_planner,IMG,https://sun9-29.userapi.com/impg/oRpDvem3Cf3ylOW7mGsYHW3gpVOBGJISgsIExA/FC7ap0FJIWs.jpg?size=564x967&quality=96&sign=81bbf0c2f893fe5e9ca1bf4764f57ff3&c_uniq_tag=wqUKkc6ILEdusnhhaN4isGqLrrtvFjWI5pf1WQvEd-4&type=album
text,#настроение@its_my_planner,IMG,https://sun9-33.userapi.com/impg/T1rBbBZ05IETmBt1DuA1Ge1EogOILonbB3Zogw/DbkoYYUoKCM.jpg?size=510x625&quality=95&sign=d0a3bb2ea5a0db03ea9b2e08fd03ec51&c_uniq_tag=Wne3SkRNy4wD538S8fmW65bZo54JP171Df79urAD2Tk&type=album
text,"«Ценить нужно подлинную продуктивность труда, а не показную усталость», — Скотт Белски

#цитаты@its_my_planner",IMG,https://sun9-34.userapi.com/impg/QBr9VfC9bDjW41AL4xScHRKxE1_uScfKilUTSg/I3msPFCeRMg.jpg?size=510x714&quality=95&sign=04366bfec2d5fb42608b44ae72c037fa&c_uniq_tag=Rf_lqE9Bqpv7GM2EM3t7WAwpxgxliEILN3aC9t-G5Js&type=album
text,#своимируками@its_my_planner,IMG,https://sun9-25.userapi.com/impg/WXCjCmdA0rruO0p0P3aciIau7GP3lnxZ-FaXiA/LHU6nyApBuA.jpg?size=510x883&quality=95&sign=9e2975f89b0c3620649ad1b32fcc2830&c_uniq_tag=ucyR_eQBN2cKDz0qQeYVc-YVQgWacai5cs8ReGSd0Lo&type=album
